ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_SKILL_TOTAL,2020,90.8,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_SKILL_L3-4,2020,151.94,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_SKILL_L2,2020,61.73,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_SKILL_L1,2020,43.53,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_SKILL_X,2020,63.66,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_SKILL_TOTAL,2020,81.53,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_SKILL_L3-4,2020,135.32,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_SKILL_L2,2020,60.31,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_SKILL_L1,2020,42.67,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_SKILL_X,2020,62.85,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_SKILL_TOTAL,2020,183.93,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_SKILL_L3-4,2020,216.61,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_SKILL_L2,2020,95.67,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_SKILL_L1,2020,52.04,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_F,OCU_SKILL_X,2020,132.04,U,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_TOTAL,2020,90.8,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_1,2020,117.79,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_2,2020,180.13,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_3,2020,65.72,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_4,2020,96.95,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_5,2020,46.75,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_6,2020,44.73,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_7,2020,41.72,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_8,2020,74.41,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_9,2020,43.53,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_0,2020,59.16,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_T,OCU_ISCO08_X,2020,132.02,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_TOTAL,2020,81.53,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_1,2020,113.01,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_2,2020,163.75,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_3,2020,64.42,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_4,2020,93.84,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_5,2020,45.56,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_6,2020,44.79,B,,T30:110_I11:264,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BA:15715,SEX_M,OCU_ISCO08_7,2020,41.42,B,,T30:110_I11:264,R1:3513
