ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_T,AGE_YTHADULT_YGE15,2011,8.9,,,,
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_M,AGE_YTHADULT_YGE15,2011,8.6,,,,
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_F,AGE_YTHADULT_YGE15,2011,7.8,,,,
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_T,AGE_YTHADULT_YGE15,2007,5.71,,,,S3:21
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_M,AGE_YTHADULT_YGE15,2007,4.97,,,,S3:21
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_F,AGE_YTHADULT_YGE15,2007,6.53,,,,S3:21
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_T,AGE_YTHADULT_YGE15,2001,6.9,,,,
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_M,AGE_YTHADULT_YGE15,2001,6.5,,,,
ABW,SDG_0852_SEX_AGE_RT,BA:829,SEX_F,AGE_YTHADULT_YGE15,2001,7.4,,,,
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_T,AGE_YTHADULT_YGE15,2010,10.6,,C6:1059,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_T,AGE_YTHADULT_Y15-24,2010,28.86,,C6:1059,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_T,AGE_YTHADULT_YGE25,2010,8.81,,,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_M,AGE_YTHADULT_YGE15,2010,10.77,,C6:1059,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_M,AGE_YTHADULT_Y15-24,2010,29.88,,C6:1059,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_M,AGE_YTHADULT_YGE25,2010,8.63,,,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_F,AGE_YTHADULT_YGE15,2010,10.43,,C6:1059,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_F,AGE_YTHADULT_Y15-24,2010,27.52,,C6:1059,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_F,AGE_YTHADULT_YGE25,2010,8.98,,,,S3:20_T2:83
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_T,AGE_YTHADULT_YGE15,2000,6.92,,,,S3:21
ABW,SDG_0852_SEX_AGE_RT,AA:22,SEX_M,AGE_YTHADULT_YGE15,2000,6.5,,,,S3:21
