ref_area,indicator,source,sex,time,obs_value,obs_status,note_indicator,note_source
ABW,SDG_0861_SEX_RT,AA:22,SEX_T,2010,16.56,,,S3:20
ABW,SDG_0861_SEX_RT,AA:22,SEX_M,2010,17.4,,,S3:20
ABW,SDG_0861_SEX_RT,AA:22,SEX_F,2010,15.64,,,S3:20
AFG,SDG_0861_SEX_RT,BA:15715,SEX_T,2021,62.81,,,R1:3513_S3:8
AFG,SDG_0861_SEX_RT,BA:15715,SEX_M,2021,41.92,,,R1:3513_S3:8
AFG,SDG_0861_SEX_RT,BA:15715,SEX_F,2021,81.25,,,R1:3513_S3:8
AFG,SDG_0861_SEX_RT,BA:15715,SEX_T,2020,53.76,B,I11:264,R1:3513
AFG,SDG_0861_SEX_RT,BA:15715,SEX_M,2020,32.16,B,I11:264,R1:3513
AFG,SDG_0861_SEX_RT,BA:15715,SEX_F,2020,74.01,B,I11:264,R1:3513
AFG,SDG_0861_SEX_RT,BB:6361,SEX_T,2017,42.84,,,R1:3513
AFG,SDG_0861_SEX_RT,BB:6361,SEX_M,2017,18.64,,,R1:3513
AFG,SDG_0861_SEX_RT,BB:6361,SEX_F,2017,67.18,,,R1:3513
AFG,SDG_0861_SEX_RT,BB:6361,SEX_T,2014,35.06,,,R1:3513
AFG,SDG_0861_SEX_RT,BB:6361,SEX_M,2014,12.75,,,R1:3513
AFG,SDG_0861_SEX_RT,BB:6361,SEX_F,2014,57.87,,,R1:3513
AGO,SDG_0861_SEX_RT,BA:13951,SEX_T,2021,21.69,,,R1:3513
AGO,SDG_0861_SEX_RT,BA:13951,SEX_M,2021,20.77,,,R1:3513
AGO,SDG_0861_SEX_RT,BA:13951,SEX_F,2021,22.57,,,R1:3513
AGO,SDG_0861_SEX_RT,BA:13951,SEX_T,2019,23.06,B,I11:264,R1:3513
AGO,SDG_0861_SEX_RT,BA:13951,SEX_M,2019,19.64,B,I11:264,R1:3513
AGO,SDG_0861_SEX_RT,BA:13951,SEX_F,2019,26.34,B,I11:264,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_T,2011,10.01,,,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_M,2011,7.61,,,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_F,2011,12.23,,,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_T,2009,25.81,,,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_M,2009,20.26,,,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_F,2009,30.85,,,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_T,2004,30.96,B,I11:264,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_M,2004,22.37,B,I11:264,R1:3513
AGO,SDG_0861_SEX_RT,BB:13366,SEX_F,2004,38.34,B,I11:264,R1:3513
AGO,SDG_0861_SEX_RT,AA:835,SEX_T,2014,30.62,,,R1:3513
AGO,SDG_0861_SEX_RT,AA:835,SEX_M,2014,24.53,,,R1:3513
AGO,SDG_0861_SEX_RT,AA:835,SEX_F,2014,36.19,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2019,25.82,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2019,26.2,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2019,25.45,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2018,26.61,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2018,25.53,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2018,27.77,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2017,26.23,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2017,25.08,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2017,27.61,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2016,27.39,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2016,27.19,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2016,27.62,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2015,29.82,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2015,28.48,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2015,31.28,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2014,31.39,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2014,30.17,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_F,2014,32.65,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_T,2013,30.98,,,R1:3513
ALB,SDG_0861_SEX_RT,BA:480,SEX_M,2013,29.82,,,R1:3513
