ref_area,indicator,source,time,obs_value
AFG,SDG_A821_NOC_RT,XA:2198,2020,7.91
AFG,SDG_A821_NOC_RT,XA:2198,2019,-0.05
AFG,SDG_A821_NOC_RT,XA:2198,2018,-2.67
AFG,SDG_A821_NOC_RT,XA:2198,2017,0.09
AFG,SDG_A821_NOC_RT,XA:2198,2016,0.22
AFG,SDG_A821_NOC_RT,XA:2198,2015,-1.45
AFG,SDG_A821_NOC_RT,XA:2198,2014,-2.32
AFG,SDG_A821_NOC_RT,XA:2198,2013,0.69
AFG,SDG_A821_NOC_RT,XA:2198,2012,6.5
AFG,SDG_A821_NOC_RT,XA:2198,2011,-4.72
AFG,SDG_A821_NOC_RT,XA:2198,2010,10.38
AFG,SDG_A821_NOC_RT,XA:2198,2009,15.97
AFG,SDG_A821_NOC_RT,XA:2198,2008,2.24
AFG,SDG_A821_NOC_RT,XA:2198,2007,13
AFG,SDG_A821_NOC_RT,XA:2198,2006,0.36
AFG,SDG_A821_NOC_RT,XA:2198,2005,6.56
AFG,SDG_A821_NOC_RT,XA:2198,2004,-2.79
AFG,SDG_A821_NOC_RT,XA:2198,2003,0.76
AFG,SDG_A821_NOC_RT,XA:2198,2002,39.57
AFG,SDG_A821_NOC_RT,XA:2198,2001,-6.14
AFG,SDG_A821_NOC_RT,XA:2198,2000,-6.37
AGO,SDG_A821_NOC_RT,XA:2010,2022,-1.24
AGO,SDG_A821_NOC_RT,XA:2010,2021,-2.58
AGO,SDG_A821_NOC_RT,XA:2010,2020,-7.22
AGO,SDG_A821_NOC_RT,XA:2010,2019,-4.21
AGO,SDG_A821_NOC_RT,XA:2010,2018,-4.81
AGO,SDG_A821_NOC_RT,XA:2010,2017,-3.8
AGO,SDG_A821_NOC_RT,XA:2010,2016,-6.06
AGO,SDG_A821_NOC_RT,XA:2010,2015,-2.63
AGO,SDG_A821_NOC_RT,XA:2010,2014,1.89
AGO,SDG_A821_NOC_RT,XA:2010,2013,1.97
AGO,SDG_A821_NOC_RT,XA:2010,2012,5.32
AGO,SDG_A821_NOC_RT,XA:2010,2011,-2.65
AGO,SDG_A821_NOC_RT,XA:2010,2010,7.33
AGO,SDG_A821_NOC_RT,XA:2010,2009,-2.81
AGO,SDG_A821_NOC_RT,XA:2010,2008,7.08
AGO,SDG_A821_NOC_RT,XA:2010,2007,9.78
AGO,SDG_A821_NOC_RT,XA:2010,2006,7.43
AGO,SDG_A821_NOC_RT,XA:2010,2005,10.79
AGO,SDG_A821_NOC_RT,XA:2010,2004,6.85
AGO,SDG_A821_NOC_RT,XA:2010,2003,-0.67
AGO,SDG_A821_NOC_RT,XA:2010,2002,9.6
AGO,SDG_A821_NOC_RT,XA:2010,2001,0.54
AGO,SDG_A821_NOC_RT,XA:2010,2000,-0.48
ALB,SDG_A821_NOC_RT,XA:2137,2022,2.32
ALB,SDG_A821_NOC_RT,XA:2137,2021,4.6
ALB,SDG_A821_NOC_RT,XA:2137,2020,4.19
ALB,SDG_A821_NOC_RT,XA:2137,2019,-0.85
ALB,SDG_A821_NOC_RT,XA:2137,2018,-0.04
ALB,SDG_A821_NOC_RT,XA:2137,2017,-0.04
ALB,SDG_A821_NOC_RT,XA:2137,2016,-2.44
ALB,SDG_A821_NOC_RT,XA:2137,2015,-3.11
ALB,SDG_A821_NOC_RT,XA:2137,2014,2.03
ALB,SDG_A821_NOC_RT,XA:2137,2013,12.52
ALB,SDG_A821_NOC_RT,XA:2137,2012,6.02
